AccX,AccY,AccZ,stepCount
-1.7989426851272583,-5.012280464172363,-1.4163835048675537,12
-1.7989426851272583,-5.012280464172363,-1.4163835048675537,1.7553141117095947
-2.0131518840789795,-4.691854476928711,-1.4410884380340576,-0.4662590026855469
-1.9389002323150635,-4.120584964752197,-1.374654769897461,2.131584882736206
-1.6855754852294922,-3.463822841644287,-1.3337119817733765,-2.1040866374969482
-1.2568691968917847,-2.781477928161621,-1.2770899534225464,-0.651311993598938
-0.6410428881645203,-2.1668567657470703,-1.1660223007202148,-1.4467108249664307
-0.055204905569553375,-1.7107000350952148,-1.1318848133087158,2.1842479705810547
0.4534591734409332,-1.4294605255126953,-1.1605291366577148,-0.8467544913291931
0.8210915327072144,-1.3730239868164062,-1.2045652866363525,1.3908164501190186
0.947754979133606,-1.4668941497802734,-1.2239248752593994,-4.716988563537598
0.912572979927063,-1.6629915237426758,-1.1139780282974243,1.7329561710357666
0.8591373562812805,-1.9969863891601562,-0.9330099821090698,0.5213231444358826
0.863972544670105,-2.428011894226074,-0.7536569833755493,0
0.9316229820251465,-2.7455296516418457,-0.6462125778198242,0
0.9567018747329712,-2.8947324752807617,-0.5107208490371704,0
1.1564927101135254,-2.6726865768432617,-0.3929350972175598,0
1.2168874740600586,-2.3022961616516113,-0.28113609552383423,0
1.343198537826538,-1.8388195037841797,-0.14644363522529602,0
1.4515244960784912,-1.3780736923217773,-0.0029034465551376343,0
1.6065661907196045,-0.7575340270996094,0.11402544379234314,0
1.705419659614563,-0.3265113830566406,0.2262253314256668,0
1.7340245246887207,-0.013051986694335938,0.334125816822052,0
1.8388359546661377,0.31687355041503906,0.4644845128059387,0
1.8985071182250977,0.60107421875,0.6344525218009949,0
1.8945167064666748,0.7965822219848633,0.7966867089271545,0
1.9277957677841187,0.9106969833374023,0.9560360908508301,0
1.9340256452560425,0.9770078659057617,1.1197333335876465,0
1.9134726524353027,0.9740715026855469,1.2015818357467651,0
1.8762094974517822,0.8756828308105469,1.2201035022735596,0
1.7890020608901978,0.7010812759399414,1.2030001878738403,0
1.6567713022232056,0.5698928833007812,1.2572393417358398,0
1.5300599336624146,0.45813560485839844,1.2601814270019531,0
1.351557970046997,0.23906898498535156,1.364845633506775,0
1.0685368776321411,-0.046515464782714844,1.5449397563934326,0
0.8029152154922485,-0.26940345764160156,1.815118432044983,0
0.5903449654579163,-0.25032520294189453,2.001638412475586,0
0.3583097457885742,-0.06369876861572266,1.9573380947113037,0
0.10822346806526184,0.3547830581665039,1.7330248355865479,0
-0.08440989255905151,0.90911865234375,1.4434069395065308,0
-0.06987887620925903,1.4077978134155273,1.2963502407073975,0
0.11043581366539001,1.8986635208129883,1.3656415939331055,0
0.3243127465248108,2.431886672973633,1.5937862396240234,0
0.6335751414299011,2.935652732849121,1.8374433517456055,0
1.0307245254516602,3.3215103149414062,1.874546766281128,0
1.414686918258667,3.4317407608032227,1.6261461973190308,0
1.8494480848312378,3.367033004760742,1.257042646408081,0
2.329813241958618,3.1203699111938477,1.056133508682251,0
2.8845181465148926,2.9143190383911133,1.1400851011276245,0
3.437436819076538,2.746450424194336,1.410415768623352,0
3.833857536315918,2.580900192260742,1.7474160194396973,0
4.064903259277344,2.4631547927856445,1.943656325340271,0
4.090350151062012,2.357349395751953,2.050734043121338,0
3.9483373165130615,2.42364501953125,1.87322998046875,0
3.7726054191589355,2.520718574523926,1.3685230016708374,0
3.519543409347534,2.909092903137207,0.6446138024330139,0
3.3085989952087402,3.3325424194335938,-0.008915454149246216,0
2.8958826065063477,3.738406181335449,-0.569064199924469,0
2.393547773361206,3.9998960494995117,-1.3751963376998901,0
1.5018484592437744,4.107538223266602,-2.0008294582366943,0
0.6345911026000977,4.004153251647949,-2.454124927520752,0
-0.021468639373779297,3.5466489791870117,-2.8358423709869385,0
-0.4872460961341858,2.828866958618164,-3.1751959323883057,0
-0.7928169965744019,2.1286468505859375,-3.277033567428589,0
-1.0016663074493408,1.5967607498168945,-3.125884771347046,0
-1.2735446691513062,1.3216066360473633,-2.6309309005737305,0
-1.5556681156158447,1.319732666015625,-1.836611032485962,0
-1.7191948890686035,1.5693721771240234,-1.4815666675567627,0
-1.8219300508499146,1.87664794921875,-1.7402496337890625,0
-1.8254787921905518,2.141232490539551,-2.2732152938842773,0
-1.83934485912323,2.3083724975585938,-2.673430919647217,0
-1.8532543182373047,2.4141921997070312,-2.88192081451416,0
-2.045954704284668,2.4635915756225586,-3.0135793685913086,0
-2.2973058223724365,2.5545921325683594,-3.225986957550049,0
-2.4997036457061768,2.651132583618164,-3.4835634231567383,0
-2.737119197845459,2.781771659851074,-3.7712550163269043,0
-2.9671149253845215,3.0444164276123047,-3.840538501739502,0
-3.269223690032959,3.2236499786376953,-3.5699081420898438,0
-3.5264477729797363,3.360166549682617,-2.952589750289917,0
-3.7219395637512207,3.3894290924072266,-2.1612894535064697,0
-3.8220741748809814,3.4191627502441406,-1.3352402448654175,0
-3.889139413833618,3.485287666320801,-0.6976313591003418,0
-4.002409934997559,3.5447778701782227,-0.0981985330581665,0
-4.056982040405273,3.6048765182495117,0.3263665437698364,0
-4.079646587371826,3.5604286193847656,0.5402079820632935,0
-4.037160396575928,3.3231372833251953,0.6224209070205688,0
-3.9537222385406494,2.7975759506225586,0.674028754234314,0
-3.6807518005371094,2.153799057006836,0.6142967939376831,0
-3.294119119644165,1.3966732025146484,0.3622417449951172,0
-2.891108989715576,0.6577596664428711,0.06655144691467285,0
-2.46366286277771,-0.09895038604736328,-0.2390223741531372,0
-2.0203139781951904,-0.8185348510742188,-0.5402323007583618,0
-1.6704223155975342,-1.5178356170654297,-0.7201635837554932,0
-1.3464536666870117,-2.2016968727111816,-0.8796926736831665,0
-1.0145692825317383,-2.7816648483276367,-1.0001775026321411,0
-0.7702573537826538,-3.2937283515930176,-1.141806721687317,0
-0.5920436382293701,-3.673417568206787,-1.3405545949935913,0
-0.4511476159095764,-3.9089531898498535,-1.5988850593566895,0
-0.2948606610298157,-4.014956951141357,-1.80170476436615,0
-0.20702266693115234,-3.996413230895996,-1.9370626211166382,0
-0.07753360271453857,-3.927618980407715,-2.021846055984497,0
0.04559445381164551,-3.7943081855773926,-2.0871682167053223,0
0.10951310396194458,-3.5559182167053223,-2.051713228225708,0
0.1742154359817505,-3.315471649169922,-1.994369626045227,0
0.328436017036438,-3.221461296081543,-1.6633673906326294,0
0.5051413774490356,-3.21663236618042,-1.1680042743682861,0
0.48148179054260254,-3.2532458305358887,-0.758838415145874,0
0.40047794580459595,-3.30741548538208,-0.5573687553405762,0
0.05323970317840576,-3.3168673515319824,-0.5299973487854004,0
-0.360195517539978,-3.2647452354431152,-0.6553375720977783,0
-0.6584407091140747,-3.2897000312805176,-0.818789005279541,0
-0.8346128463745117,-3.3749399185180664,-0.8600102663040161,0
-1.1019665002822876,-3.448751926422119,-0.8362452983856201,0
-1.2354763746261597,-3.6619462966918945,-0.7974357604980469,0
-1.2879716157913208,-3.8997464179992676,-0.7359800338745117,0
-1.316643238067627,-4.162264347076416,-0.6779615879058838,0
-1.2350242137908936,-4.51417875289917,-0.5705420970916748,0
-1.1312048435211182,-4.7713799476623535,-0.45192503929138184,0
-0.8563021421432495,-5.106229782104492,-0.32453393936157227,0
-0.48618096113204956,-5.451767921447754,-0.15733933448791504,0
-0.1758294701576233,-5.676468372344971,0.0039730072021484375,0
0.20697695016860962,-5.84018087387085,0.13028693199157715,0
0.6316949129104614,-5.928522109985352,0.2259235382080078,0
0.8065861463546753,-5.836118221282959,0.2567172050476074,0
0.6405628323554993,-5.433767795562744,0.2339940071105957,0
0.6718956828117371,-4.975040435791016,0.19536590576171875,0
0.7707394361495972,-4.531557559967041,0.20029497146606445,0
0.869307279586792,-4.067337512969971,0.29893016815185547,0
0.8969830274581909,-3.611086368560791,0.4604053497314453,0
0.8929689526557922,-3.198740005493164,0.6255137920379639,0
1.004249095916748,-2.7824792861938477,0.7540719509124756,0
1.0645089149475098,-2.450835704803467,0.8082640171051025,0
1.1851391792297363,-2.1534957885742188,0.8935756683349609,0
1.4037225246429443,-1.837824821472168,1.0363821983337402,0
1.6149625778198242,-1.4965524673461914,1.1214077472686768,0
1.9057068824768066,-1.1940793991088867,1.1575005054473877,0
2.1072309017181396,-0.7960805892944336,1.0261001586914062,0
2.209052562713623,-0.3237419128417969,0.7854101657867432,0
2.1145198345184326,0.209014892578125,0.48616504669189453,0
1.939650297164917,0.8384943008422852,0.1670970916748047,0
1.5630499124526978,1.5912466049194336,0.05162167549133301,0
1.1740591526031494,2.3166913986206055,0.1267414093017578,0
0.5933944582939148,3.026728630065918,0.37103819847106934,0
-0.08603659272193909,3.673192024230957,0.7187647819519043,0
-0.7980564832687378,4.172060966491699,1.0973122119903564,0
-1.4356342554092407,4.482281684875488,1.6068115234375,0
-1.6954394578933716,4.5291643142700195,2.354977607727051,0
-1.8075029850006104,4.400728225708008,3.1383509635925293,0
-1.8394240140914917,4.264041900634766,3.7840003967285156,0
-1.8323718309402466,4.071089744567871,4.2400970458984375,0
-1.7844603061676025,3.712141990661621,4.503870964050293,0
-1.6363885402679443,3.1853713989257812,4.658143043518066,0
-1.5465281009674072,2.6590442657470703,4.665098667144775,0
-1.7421985864639282,2.4527053833007812,3.745509624481201,0
-2.19674015045166,2.7782325744628906,2.6169865131378174,0
-2.8595309257507324,3.702948570251465,1.8028712272644043,0
-3.7338814735412598,5.156767845153809,1.1789851188659668,0
-4.409073829650879,6.9112548828125,0.35782432556152344,0
-4.434247970581055,8.8262357711792,-0.2767007350921631,0
-3.7193353176116943,10.638754844665527,-0.467792272567749,0
-2.477095365524292,12.116765022277832,-0.7564036846160889,0
-1.2844157218933105,12.988300323486328,-1.5049407482147217,0
-0.6632606983184814,13.020654678344727,-2.5658583641052246,0
-0.793378472328186,12.0132474899292,-3.569310426712036,0
-2.109821319580078,9.810029983520508,-4.151089191436768,0
-4.22341251373291,6.392980575561523,-4.534261703491211,0
-5.920441627502441,2.6363162994384766,-4.524188041687012,0
-5.94035530090332,-0.9084224700927734,-3.9166643619537354,0
-4.024971961975098,-3.6244263648986816,-3.1938657760620117,0
-2.38405442237854,-5.079635143280029,-2.8421010971069336,0
-1.3114444017410278,-5.812928199768066,-2.8792169094085693,0
-0.46471768617630005,-6.173815727233887,-2.971041202545166,0
0.40600860118865967,-6.413790702819824,-2.5627079010009766,0
1.1707043647766113,-6.368316650390625,-1.8594907522201538,0
1.5410172939300537,-5.978174686431885,-1.389356017112732,0
1.284150242805481,-5.243992805480957,-1.3328999280929565,0
1.3890526294708252,-4.324291706085205,-1.3516544103622437,0
1.5963001251220703,-3.2528514862060547,-1.5339947938919067,0
1.5386974811553955,-2.1014227867126465,-1.901954174041748,0
1.3510007858276367,-1.008652687072754,-2.2453951835632324,0
1.414285659790039,0.027919769287109375,-2.5046865940093994,0
1.8109487295150757,0.8860979080200195,-2.5810728073120117,0
