1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,60
9,60
10,60
11,40
12,20
13,0
14,0
15,0
16,0
17,0
18,20
19,20
20,0
21,0
22,20
23,40
24,0
25,0
26,20
27,20
28,20
29,40
30,0
31,0
32,0
33,0
34,20
35,20
36,20
37,0
38,40
39,40
40,0
41,0
42,0
43,0
44,20
45,20
46,0
47,20
48,20
49,0
50,0
51,20
52,40
53,60
54,20
55,20
56,80
57,80
58,80
59,80
60,60
61,40
62,20
63,40
64,0
65,0
66,0
67,0
68,20
69,20
70,20
71,20
72,0
73,20
74,20
75,20
76,20
77,20
78,40
79,40
80,40
81,40
82,40
83,40
84,60
85,60
86,40
87,40
88,40
89,40
90,60
91,40
92,40
93,80
94,80
95,60
96,80
97,100
98,100
99,80
100,80
101,60
102,80
103,60
104,60
105,80
106,60
107,60
108,60
109,40
110,60
111,80
112,100
113,80
114,100
115,100
116,100
117,100
118,80
119,60
120,80
121,60
122,60
123,100
124,100
125,80
126,80
127,60
128,60
129,80
130,80
131,60
132,60
133,60
134,40
135,40
136,40
137,40
138,40
139,40
140,40
141,60
142,60
143,80
144,80
145,80
146,80
147,80
148,80
149,80
150,80
151,80
152,80
153,60
154,60
155,60
156,60
157,80
158,80
159,80
160,80
161,80
162,60
163,60
164,80
165,80
166,80
167,80
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
