AccX,AccY,AccZ,stepCount
-3.320497989654541,1.055069923400879,0.4765249490737915,5.826623439788818
-3.4244868755340576,1.4352388381958008,0.6196193099021912,2.168077230453491
-3.273608684539795,1.6338262557983398,0.6615902185440063,5.552684783935547
-2.9965171813964844,1.7244672775268555,0.5306012630462646,-0.8801252841949463
-2.6420366764068604,1.5891399383544922,0.3482329845428467,5.133768558502197
-2.4403433799743652,1.4852848052978516,0.05069231986999512,-1.8930885791778564
-2.3525829315185547,1.522049903869629,-0.4637751579284668,5.551627159118652
-2.312267303466797,1.763498306274414,-1.1842433214187622,-2.974839925765991
-2.1030619144439697,2.008665084838867,-1.9815399646759033,6.093976974487305
-1.8374152183532715,2.3176498413085938,-2.8295738697052,-2.318268299102783
-1.5123175382614136,2.6192216873168945,-3.667086601257324,-1.6909104585647583
-1.1775304079055786,2.9115381240844727,-4.114349842071533,-0.7245342135429382
-0.9115280508995056,3.2859020233154297,-4.504007339477539,-0.24561846256256104
-0.5462818741798401,3.493864059448242,-4.840015411376953,1.3597867488861084
-0.3813915252685547,3.645869255065918,-4.932287216186523,0
-0.1250799596309662,3.8164377212524414,-4.660368919372559,0
0.15843898057937622,4.068117141723633,-4.05684757232666,0
0.5827277898788452,4.269733428955078,-3.2112772464752197,0
0.770889401435852,4.096529006958008,-2.401317834854126,0
1.2129862308502197,4.079789161682129,-1.4705065488815308,0
1.5916765928268433,3.8029556274414062,-0.6394155025482178,0
1.8834311962127686,3.368496894836426,0.14484691619873047,0
2.152545928955078,2.8233747482299805,0.7682087421417236,0
2.268094539642334,2.324146270751953,1.2077867984771729,0
2.2097373008728027,1.9579353332519531,1.3680789470672607,0
1.9737815856933594,1.549036979675293,1.2506639957427979,0
1.8049523830413818,1.1973028182983398,0.9517059326171875,0
1.5762598514556885,0.8591270446777344,0.4499232769012451,0
1.412867546081543,0.5774517059326172,-0.18333101272583008,0
1.3038194179534912,0.2615776062011719,-0.8578886985778809,0
1.1868529319763184,-0.054520606994628906,-1.4767320156097412,0
1.0761845111846924,-0.38472557067871094,-2.024122476577759,0
0.9690521955490112,-0.7023515701293945,-2.409977436065674,0
0.8368450999259949,-1.0310368537902832,-2.725907564163208,0
0.6995392441749573,-1.317960262298584,-2.972468137741089,0
0.40289196372032166,-1.548598289489746,-3.1813888549804688,0
0.08057911694049835,-1.789780616760254,-3.4464707374572754,0
-0.3222407400608063,-1.9481096267700195,-3.7035021781921387,0
-0.8339071273803711,-2.0688962936401367,-4.008053302764893,0
-1.4158105850219727,-2.1661977767944336,-4.377569675445557,0
-1.9694222211837769,-2.280355453491211,-4.848568439483643,0
-2.4634993076324463,-2.3584213256835938,-5.321194171905518,0
-2.946157693862915,-2.402534008026123,-5.690868854522705,0
-3.3005282878875732,-2.5008935928344727,-6.046823501586914,0
-3.5629444122314453,-2.598140239715576,-6.33229398727417,0
-3.7410740852355957,-2.69888973236084,-6.502284526824951,0
-4.048765182495117,-2.779094696044922,-6.607433319091797,0
-4.249964237213135,-2.9127984046936035,-6.612170219421387,0
-4.481791973114014,-3.0736536979675293,-6.538104057312012,0
-4.402318477630615,-3.2499141693115234,-6.337028503417969,0
-4.04918098449707,-3.4541640281677246,-5.799808502197266,0
-3.644000768661499,-3.586719036102295,-5.150135040283203,0
-3.195659637451172,-3.7106289863586426,-4.456009387969971,0
-2.8066511154174805,-3.795508861541748,-3.7568984031677246,0
-2.4481425285339355,-3.9211225509643555,-3.0370304584503174,0
